"term","model","power","sims"
"group","Model1a_GroupTP",0.79,1000
"group","Model1b_GroupLM",0.912,1000
"group","Model2a_DevTP",0.143434343434343,990
"group","Model2b_DevLM",0.255767301905717,997
"groupXliteral","Model1b_GroupLM",1,1000
"groupXliteral","Model2b_DevLM",0.988966900702106,997
"groupXmoral","Model1b_GroupLM",0.294,1000
"groupXmoral","Model2b_DevLM",0.831494483450351,997
"groupXpurpose","Model1a_GroupTP",0.999,1000
"groupXpurpose","Model2a_DevTP",0.986868686868687,990
"groupXtext","Model1a_GroupTP",0.731,1000
"groupXtext","Model2a_DevTP",0.470707070707071,990
"literal","Model1b_GroupLM",1,1000
"literal","Model2b_DevLM",1,997
"moral","Model1b_GroupLM",1,1000
"moral","Model2b_DevLM",1,997
"purpose","Model1a_GroupTP",1,1000
"purpose","Model2a_DevTP",1,990
"text","Model1a_GroupTP",1,1000
"text","Model2a_DevTP",1,990
